ID,Date,Source,Title,Authors,URL,Type,Ideology,TacticalActor,OperationalTarget,TacticMO,Location,Summary,Analyst
47,7/8/2024,1,United Nations says nine employees 'may have' been involved in October 7 attack,?,https://www.abc.net.au/news/2024-08-06/unrwa-nine-employees-fired/104187322,1,9,24,14;15,13,82,"The United Nations says nine staff members of UNWRA ""may have"" been involved in the October 7 attack on Israel.
The individuals, who are all men, have been fired. Funding to the agency from the United States, its top donor, remains suspended. Several countries, including Australia, have resumed payments. The United Nations has fired nine staff members from UNRWA, its agency for Palestinian refugees, after an internal investigation found they ""may have"" been involved in the Hamas-led October 7 attack against Israel The UN secretary-general's office announced the move in a brief statement to journalists. Farhan Haq, deputy spokesperson for the secretary-general did not elaborate on the UNRWA staffers' likely role in the terrorist attack, or on the evidence that prompted its decision.",3
48,7/8/2024,1,Former Chinese spy who spoke to Four Corners set to give evidence to Canada's Foreign Interference Commission,Echo Hui,https://www.abc.net.au/news/2024-08-06/ex-chinese-spy-set-to-testify-canada-foreign-interference-probe/104176640,4,13,71,20,8,31,"The former spy known as Eric is set to testify at a Canadian inquiry into foreign interference, which has singled out China as ""the main perpetrator"" of such activities against Canada. Eric was involved in surveilling Hua Yong, a Chinese dissident who relocated to Canada, where he died in 2022. The former spy, known as Eric, worked for the Chinese secret police, one of the country's most notorious intelligence agencies, between 2008 and early 2023.
In an interview with the ABC in May, Eric revealed details about his role in surveilling the prominent dissident and artist, Hua Yong, and infiltrating his group of activists.",3
49,7/8/2024,6,Police detonate 'hoax device' found at University of Toronto campus,"Reporting by Brad Brooks in Longmont, Colorado; Editing by Caitlin Webber, Sandra Maler and Christian Schmollinger",https://www.reuters.com/world/americas/toronto-police-detonate-explosive-found-university-toronto-2024-08-07/,5,19,74,21,13,31,"Toronto police on Tuesday detonated what they said was a ""hoax device"" at a satellite campus of the University of Toronto that they had earlier described as an explosive device.
Dan Pravica with the Toronto Police told reporters that a remote robot was sent in to X-ray a suspicious package inside the Environmental Sciences and Chemistry building at the University of Toronto Scarborough.
Based on the images officers saw, they believed the package contained an explosive.",3
50,7/8/2024,6,Chinese academic convicted of acting as foreign agent in US,Luc Cohen,https://www.reuters.com/legal/chinese-academic-convicted-acting-foreign-agent-us-2024-08-06/,2,13,71,21,13,185,"A Chinese academic was convicted on Tuesday of illegally acting as a foreign agent in the United States by collecting information about New York-based activists supporting democracy in China and sharing his findings with Beijing.
A jury found Wang Shujun guilty on four counts including acting as a foreign agent without notifying the U.S. attorney general and lying to U.S. authorities, following a week-long trial in Brooklyn federal court.",3
51,7/8/2024,6,French police probe ransomware attack on Grand Palais Olympic venue,"Reporting by Dominique Vidalon and Geert De Clercq; Writing by Leigh Thomas; Editing by Helen Popper, Alexandra Hudson",https://www.reuters.com/world/europe/french-police-probe-ransomware-attack-olympic-venue-2024-08-06/,2,19,74,5,5,61,"French cyber crime police are investigating a ransomware attack against the Grand Palais exhibition hall in Paris where Olympic events including fencing and Taekwondo are being held, Paris prosecutors said on Tuesday.
They said cyber criminals had targeted the institution's central computer system, but the incident had not caused any disruption to Olympic events taking place in the iconic glass-roofed exhibition hall in the centre of the French capital.",3
52,7/8/2024,6,"Hindu homes, temples targeted in Bangladesh after Hasina ouster, minority group says",Reporting by Ruma Paul in Dhaka and Krishna N. Das in New Delhi; editing by Mark Heinrich,https://www.reuters.com/world/asia-pacific/hindu-homes-temples-targeted-bangladesh-after-hasina-ouster-minority-group-says-2024-08-06/,3,18,74,15;22,13,14,"Hundreds of Hindu houses, businesses and temples have been vandalised since the ouster of Prime Minister Sheikh Hasina, a community association said on Tuesday, and mainly Hindu India said it was worried about the incidents.
Hindus constitute about 8% of Bangladesh's 170 million people and have historically largely supported Hasina's Awami League party, which identifies as largely secular, instead of the opposition bloc that includes a hardline Islamist party.",3
53,7/8/2024,6,UK examines foreign states' role in sowing discord leading to riots,Michael Holden and Alistair Smout,https://www.reuters.com/world/uk/uk-examines-foreign-states-role-sowing-discord-leading-riots-2024-08-05/,4,13;19,71;74,21,11,184,"The British government said on Monday officials were examining the role foreign states had played in amplifying disinformation online which had helped fuel violent protests, while warning social media firms they had to do more to stop it.Trouble flared last week following the murder of three girls at a Taylor Swift-themed event in Southport, a seaside town in northern England, after false messaging on social media wrongly identified the suspected killer as an Islamist migrant.",3
54,7/8/2024,6,Farmers attack Indigenous people reclaiming land in Brazil,Reporting by Anthony Boadle; Editing by Helen Popper and Richard Chang,https://www.reuters.com/world/americas/farmers-attack-indigenous-people-reclaiming-land-brazil-2024-08-05/,2,19,70,14;15,2;14,24,"Armed men backed by farmers in trucks and tractors attacked Indigenous people reclaiming land in Brazil's farming state of Mato Grosso do Sul at the weekend, injuring 11 of them, government officials and a rights group said on Monday.
The Ministry of Indigenous Affairs said five of the 10 people injured on Saturday were taken to hospital to be treated for wounds from gunshots and rubber bullets in the first attack in the Douradina district. ""The Guarani-Kaiowa people are retaking land in the Panambi-Lagoa Rica territory,"" the ministry said in a statement, blaming the violence on the uncertain legal situation surrounding Indigenous land claims. On Sunday night, the farmers broke through a rope put up by the Indigenous group to mark the land they claim and set fire to their tents, police said.",3
55,8/8/2024,6,"U.S.-Russian citizen Ksenia Karelina pleads guilty to treason, state media says","writing by Mark Trevelyan, Editing by Angus MacSwan",https://www.reuters.com/world/us-russian-citizen-ksenia-karelina-pleads-guilty-treason-state-media-says-2024-08-07/,2,18,74,21,13,143,"Russian-American dual citizen Ksenia Karelina has pleaded guilty in a Russian court to a charge of treason, state news agency RIA quoted her lawyer as saying on Wednesday. Karelina, who was not included in a major prisoner swap between Russia and the West last week, is on trial in the city of Yekaterinburg over a donation she made in 2022 to a charity supporting Ukraine. Wednesday's hearing was the first in her case since the Aug. 1 swap involving 24 prisoners held in seven countries, which saw three American citizens released from Russian jails. Investigators brought the treason charge after discovering on her mobile phone that she had donated $51.80 to Razom, a charity that provides aid to Ukraine, when Russia invaded its neighbour in February 2022. The FSB alleged that the ultimate beneficiary was the Ukrainian army.",3
56,8/8/2024,6,Exclusive: France seeks FBI help in probe of high-speed train sabotage hours before Olympics,Gabriel Stargardter,https://www.reuters.com/world/europe/france-seeks-fbi-help-probe-high-speed-train-sabotage-hours-before-olympics-2024-08-07/,5,19,74,17,14,61,"Police in France investigating the sabotage of high-speed rail lines hours before the Paris Olympics' Opening Ceremony have asked the U.S. FBI for help, two sources with direct knowledge of the French inquiry said.
Investigators called in the FBI after media organisations, including Reuters, received an email the police believe may have been sent by the perpetrators. It set out a rambling list of grievances but did not explicitly claim responsibility. The email, signed by ""an unexpected delegation"", was sent from a riseup.net address, a Seattle-based collective that says it provides ""communication and computer resources to allies engaged in struggles against capitalism and other forms of oppression"".",3
